x,y
2.395927642981996009e+00,-7.005994051715906945e-01
2.427014863289865154e+00,-6.909467876731552050e-01
2.455982121125285023e+00,-6.803353023695941637e-01
2.482936623729997461e+00,-6.687743887917141361e-01
2.507995943450919807e+00,-6.562888118567236084e-01
2.531283066907909607e+00,-6.429158588315522227e-01
2.552921885370187383e+00,-6.287021885969621415e-01
2.573033445937695340e+00,-6.137007156503140326e-01
2.591733112132124539e+00,-5.979678088892170784e-01
2.609128635053044043e+00,-5.815609657903277885e-01
2.625319034885619018e+00,-5.645370168920924581e-01
2.640394140081311569e+00,-5.469508390340074300e-01
2.654434618505515875e+00,-5.288545109452429394e-01
2.667512347467837941e+00,-5.102968260251021793e-01
2.679690995114281993e+00,-4.913230762752907044e-01
2.691026714920830454e+00,-4.719750305951728730e-01
2.701568882447610065e+00,-4.522910442231307115e-01
2.711360826486417963e+00,-4.323062502957066844e-01
2.720440524568730201e+00,-4.120527973102265928e-01
2.728841245850762931e+00,-3.915601068955563147e-01
2.736592133461265064e+00,-3.708551345935502397e-01
2.743718724386912555e+00,-3.499626225560030779e-01
2.750243408700262293e+00,-3.289053375304875626e-01
2.756185832078024589e+00,-3.077042906220279761e-01
2.761563246629025414e+00,-2.863789374148593136e-01
2.766390815428067196e+00,-2.649473583976085234e-01
2.770681876099739593e+00,-2.434264204726186431e-01
2.774448168496172151e+00,-2.218319208081624971e-01
2.777700031084329613e+00,-2.001787145290381265e-01
2.780446570178536358e+00,-1.784808278207077326e-01
2.782695805669197497e+00,-1.567515580032736722e-01
2.784454796436509394e+00,-1.350035620542788806e-01
2.785729748212613099e+00,-1.132489349504510745e-01
2.786526106273188752e+00,-9.149927907555954754e-02
2.786848635001290653e+00,-6.976576581572557778e-02
2.786701486070239930e+00,-4.805919034150485381e-02
2.786088256735719249e+00,-2.639002046182370442e-02
2.785012039505624148e+00,-4.768440330163103980e-03
2.783475464265710908e+00,1.679561031088128153e-02
2.781480733775672842e+00,3.829240074455175780e-02
2.779029653310224113e+00,5.971237722653999214e-02
2.776123655099745680e+00,8.104613380059277894e-02
2.772763818122157886e+00,1.022843855775119604e-01
2.768950883709302424e+00,1.234179441217597706e-01
2.764685267355069254e+00,1.444376946332741607e-01
2.759967067046887212e+00,1.653345746500056723e-01
2.754796068385396701e+00,1.860995540297223361e-01
2.749171746707792519e+00,2.067236159987175803e-01
2.743093266387327755e+00,2.271977390806299013e-01
2.736559477443807786e+00,2.475128797414074544e-01
2.729568909566930657e+00,2.676599556069563235e-01
2.722119763625192146e+00,2.876298291288643671e-01
2.714209900707547085e+00,3.074132915910672281e-01
2.705836828722501863e+00,3.270010473671236539e-01
2.696997686559607477e+00,3.463836983542343262e-01
2.687689225801449755e+00,3.655517285267055883e-01
2.677907789959813822e+00,3.844954885689293445e-01
2.667649291198179284e+00,4.032051805663339206e-01
2.656909184494011811e+00,4.216708427530495573e-01
2.645682439188937529e+00,4.398823343375006800e-01
2.633963507873195997e+00,4.578293204527905669e-01
2.621746292553514657e+00,4.755012573079890892e-01
2.609024108061432479e+00,4.928873776503090998e-01
2.595789642673256736e+00,5.099766766874760382e-01
2.582034915934517727e+00,5.267578986652505790e-01
2.567751233712439074e+00,5.432195243482944580e-01
2.552929140541506658e+00,5.593497597141994238e-01
2.537558369381820444e+00,5.751365262420322644e-01
2.521627788979901474e+00,5.905674532589881842e-01
2.505125349110081334e+00,6.056298729030626937e-01
2.488038024084382904e+00,6.203108183667920272e-01
2.470351755053701748e+00,6.345970262079136948e-01
2.452051391786495227e+00,6.484749436473453699e-01
2.433120634807124372e+00,6.619307419228657174e-01
2.413541979007897353e+00,6.749503369268730069e-01
2.393296660120180164e+00,6.875194185259900781e-01
2.372364605742776078e+00,6.996234901346436441e-01
2.350724392981338617e+00,7.112479202874477657e-01
2.328353215149284949e+00,7.223780081170667611e-01
2.305226860414331558e+00,7.329990647820701088e-01
2.281319705736449599e+00,7.430965129868118968e-01
2.256604729918599617e+00,7.526560067712193547e-01
2.231053550059539869e+00,7.616635736967387604e-01
2.204636486128751738e+00,7.701057813856020395e-01
2.177322658737934180e+00,7.779699300497628922e-01
2.149080125412091480e+00,7.852442721376078349e-01
2.119876060707049259e+00,7.919182594953397825e-01
2.089676985311768043e+00,7.979828174552099362e-01
2.058449048741078258e+00,8.034306440039138408e-01
2.026158369296358508e+00,8.082565306479432277e-01
1.992771433586673080e+00,8.124576997992198901e-01
1.958255556019157018e+00,8.160341515070872465e-01
1.922579396276431929e+00,8.189890102531953708e-01
1.885713529936964727e+00,8.213288604377968483e-01
1.847631064155748071e+00,8.230640572936420707e-01
1.808308286865521808e+00,8.242089984734506380e-01
1.767725334505369617e+00,8.247823406912875299e-01
1.725866860110190082e+00,8.248071457710759447e-01
1.682722681010231369e+00,8.243109414421492254e-01
1.638288383703969675e+00,8.233256843261027580e-01
1.592565862949656408e+00,8.218876157843091335e-01
1.545563772959547499e+00,8.200370055245722600e-01
1.497297870846852064e+00,8.178177828577075648e-01
1.447791236099049694e+00,8.152770609016939396e-01
1.397074354619011860e+00,8.124645644301808911e-01
1.345185061448150643e+00,8.094319770074309695e-01
1.292168342238064982e+00,8.062322271293245191e-01
1.238075999408838834e+00,8.029187359709695215e-01
1.182966194285739014e+00,7.995446508215611203e-01
1.126902880977333155e+00,7.961620883073614596e-01
1.069955151093049395e+00,7.928214101476100950e-01
1.012196510470552147e+00,7.895705516602182783e-01
9.537041098930372218e-01,7.864544198231238070e-01
8.945579514308296121e-01,7.835143737336989211e-01
8.348400907262953918e-01,7.807877961236007192e-01
7.746338534870290671e-01,7.783077604772894453e-01
7.140230819037388654e-01,7.761027945095515523e-01
6.530914238975631392e-01,7.741967374530671631e-01
5.919216752275970883e-01,7.726086858939746893e-01
5.305951817126712822e-01,7.713530208119003806e-01
4.691913062579187166e-01,7.704395070200915629e-01
4.077869631008960161e-01,7.698734553130228697e-01
3.464562197427123458e-01,7.696559372409828015e-01
2.852699654172683452e-01,7.697840424592925501e-01
2.242956436659849229e-01,7.702511689567612674e-01
1.635970456022670105e-01,7.710473370701809159e-01
1.032341597368151564e-01,7.721595189639407497e-01
4.326307375640958686e-02,7.735719761310941855e-01
-1.626407663199613829e-02,7.752665984011684053e-01
-7.529911679727774310e-02,7.772232388776985079e-01
-1.337978052115135208e-01,7.794200401428790226e-01
-1.917197732823755496e-01,7.818337479338122176e-01
-2.490284376678749689e-01,7.844400092988796924e-01
-3.056908894964821544e-01,7.872136529735040966e-01
-3.616777646208958474e-01,7.901289503669697289e-01
-4.169630987132734168e-01,7.931598561246619994e-01
-4.715241706751244211e-01,7.962802277243665738e-01
-5.253413374960455018e-01,7.994640239846007024e-01
-5.783978633598265695e-01,8.026854827121994163e-01
-6.306797454696333460e-01,8.059192780010124846e-01
-6.821755387509323976e-01,8.091406579198969773e-01
-7.328761812946584797e-01,8.123255635024857479e-01
-7.827748221261791040e-01,8.154507300796762781e-01
-8.318666526292040064e-01,8.184937720844818188e-01
-8.801487427191042601e-01,8.214332525136938123e-01
-9.276198826468350367e-01,8.242487382567613707e-01
-9.742804311230177650e-01,8.269208425045733168e-01
-1.020132170280807493e+00,8.294312554335443455e-01
-1.065178167845428847e+00,8.317627643277880622e-01
-1.109422646746251129e+00,8.338992642573572756e-01
-1.152870862293170706e+00,8.358257603768139976e-01
-1.195528986941267302e+00,8.375283628481877685e-01
-1.237404002585160923e+00,8.389942753280466015e-01
-1.278503600255464168e+00,8.402117778915689783e-01
-1.318836087033402826e+00,8.411702051990510576e-01
-1.358410299954127209e+00,8.418599206430354975e-01
-1.397235526633857416e+00,8.422722871486056917e-01
